breed,tail
affenpinscher,long
afghan_hound,short
african_hunting_dog,long
airedale,long
american_staffordshire_terrier,long
appenzeller,long
australian_terrier,long
basenji,long
basset,long
beagle,long
bedlington_terrier,long
bernese_mountain_dog,long
black-and-tan_coonhound,long
blenheim_spaniel,short
bloodhound,long
bluetick,long
border_collie,long
border_terrier,long
borzoi,long
boston_bull,short
bouvier_des_flandres,short
boxer,long
brabancon_griffon,long
briard,long
brittany_spaniel,short
bull_mastiff,long
cairn,long
cardigan,long
chesapeake_bay_retriever,long
chihuahua,long
chow,short
clumber,long
cocker_spaniel,long
collie,long
curly-coated_retriever,long
dandie_dinmont,long
dhole,long
dingo,long
doberman,short
english_foxhound,long
english_setter,long
english_springer,long
entlebucher,long
eskimo_dog,long
flat-coated_retriever,long
french_bulldog,short
german_shepherd,long
german_short-haired_pointer,long
giant_schnauzer,long
golden_retriever,long
gordon_setter,long
great_dane,long
great_pyrenees,long
greater_swiss_mountain_dog,long
groenendael,long
ibizan_hound,long
irish_setter,long
irish_terrier,short
irish_water_spaniel,long
irish_wolfhound,long
italian_greyhound,long
japanese_spaniel,long
keeshond,short
kelpie,long
kerry_blue_terrier,short
komondor,long
kuvasz,long
labrador_retriever,long
lakeland_terrier,long
leonberg,long
lhasa,long
malamute,long
malinois,long
maltese_dog,short
mexican_hairless,long
miniature_pinscher,short
miniature_poodle,short
miniature_schnauzer,short
newfoundland,long
norfolk_terrier,short
norwegian_elkhound,long
norwich_terrier,short
old_english_sheepdog,long
otterhound,long
papillon,long
pekinese,long
pembroke,long
pomeranian,short
pug,long
redbone,long
rhodesian_ridgeback,long
rottweiler,long
saint_bernard,long
saluki,long
samoyed,long
schipperke,long
scotch_terrier,long
scottish_deerhound,long
sealyham_terrier,long
shetland_sheepdog,long
shih-tzu,short
siberian_husky,long
silky_terrier,short
soft-coated_wheaten_terrier,short
staffordshire_bullterrier,long
standard_poodle,short
standard_schnauzer,short
sussex_spaniel,long
tibetan_mastiff,long
tibetan_terrier,short
toy_poodle,short
toy_terrier,short
vizsla,long
walker_hound,long
weimaraner,long
welsh_springer_spaniel,long
west_highland_white_terrier,short
whippet,long
wire-haired_fox_terrier,long
yorkshire_terrier,short
